area,precinct
"47,315,893.68",1
"18,088,797.95",5
"22,098,189.76",6
"45,331,787.17",71
"104,621,257.69",72
"18,364,020.90",7
"21,394,233.59",9
"38,301,388.66",22
"27,267,320.87",10
"29,508,893.74",13
"20,510,163.83",14
"22,269,686.99",17
"27,671,000.15",20
"32,261,097.60",18
"48,744,673.58",19
"21,467,755.11",23
"25,479,873.37",24
"44,793,124.96",25
"44,975,546.93",79
"23,836,010.53",26
"15,289,544.60",28
"18,845,037.81",30
"23,009,990.36",32
"51,771,864.99",73
"25,865,037.87",33
"52,104,582.79",34
"180,384,307.54",75
"60,400,894.81",40
"62,139,100.54",41
"44,818,131.90",42
"113,325,976.68",43
"43,057,143.45",48
"55,518,898.07",44
"271,932,559.55",45
"38,323,373.38",46
"160,530,329.31",47
"105,809,974.13",49
"136,112,620.48",50
"93,744,758.44",67
"80,116,628.67",52
"88,215,710.85",60
"134,636,252.71",61
"103,208,535.21",62
"229,484,178.53",63
"99,520,789.11",66
"110,943,389.27",68
"106,875,035.54",69
"82,181,407.82",70
"48,239,339.96",76
"42,651,832.13",77
"67,677,111.13",78
"34,485,430.76",81
"56,650,181.43",83
"35,462,877.45",84
"42,391,905.68",88
"66,154,252.97",90
"65,627,712.59",94
"206,987,680.75",100
"84,672,666.33",101
"133,314,470.84",102
"100,921,594.95",103
"210,504,683.70",104
"347,328,626.92",105
"173,080,151.29",106
"207,501,246.61",107
"139,673,421.88",108
"322,686,744.93",109
"112,105,631.29",110
"259,702,031.96",111
"88,945,075.95",112
"386,060,354.63",113
"179,955,560.12",114
"113,342,670.87",115
"232,394,745.25",120
"475,608,662.66",121
"454,803,344.60",122
"460,870,016.29",123
