offense,community_id
FORGERY,269839
"FORGERY,ETC.,UNCLASSIFIED-FELO",269839
ASSAULT POLICE/PEACE OFFICER,269840
FELONY ASSAULT,269840
ROBBERY,269840
"ROBBERY,PERSONAL ELECTRONIC DEVICE",269840
STRANGULATION 1ST,269840
BURGLARY,269841
"BURGLARY,RESIDENCE,DAY",269841
END WELFARE VULNERABLE ELDERLY PERSON,269841
MISCELLANEOUS PENAL LAW,269841
RAPE,269842
RAPE 2,269842
VEHICULAR ASSAULT (INTOX DRIVE,269842
"ASSAULT 2,1,UNCLASSIFIED",269843
GRAND LARCENY,269843
"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",269843
DANGEROUS WEAPONS,269844
WEAPONS POSSESSION 3,269844
"CONTROLLED SUBSTANCE,POSSESS.",269846
DANGEROUS DRUGS,269846
RECKLESS ENDANGERMENT 1,269846
"BURGLARY,COMMERCIAL,DAY",269847
"LARCENY,GRAND OF BICYCLE",269848
"FORGERY,DRIVERS LICENSE",269849
GRAND LARCENY OF MOTOR VEHICLE,269850
"LARCENY,GRAND OF AUTO",269850
MENACING 1ST DEGREE (VICT PEAC,269850
ASSAULT TRAFFIC AGENT,269851
"HOMICIDE,NEGLIGENT,UNCLASSIFIE",269851
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",269851
"NY STATE LAWS,UNCLASSIFIED FEL",269851
NYS LAWS-UNCLASSIFIED FELONY,269851
OTHER STATE LAWS (NON PENAL LA,269851
"FORGERY,M.V. REGISTRATION",269852
RAPE 1,269853
"LARCENY,GRAND FROM STORE-SHOPL",269854
CRIMINAL CONTEMPT 1,269855
"BURGLARY,TRUCK DAY",269857
"ROBBERY,OPEN AREA UNCLASSIFIED",269858
POSSESSION OF STOLEN PROPERTY,269859
"STOLEN PROPERTY 2,1,POSSESSION",269859
"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",269860
"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",269861
"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",269862
"ROBBERY,BEGIN AS SHOPLIFTING",269863
"LARCENY,GRAND PERSON,NECK CHAI",269864
"LARCENY,GRAND FROM PERSON,PICK",269865
"FRAUD,UNCLASSIFIED-FELONY",269866
MENACING 1ST DEGREE (VICT NOT,269866
THEFT-FRAUD,269866
CRIMINAL MIS 2 & 3,269867
CRIMINAL MISCHIEF & RELATED OF,269867
"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",269868
"MISCHIEF, CRIMINAL 3 & 2, OF M",269869
"LARCENY,GRAND FROM PERSON,UNCL",269870
"MISCHIEF,CRIMINAL,    UNCL 2ND",269871
"ROBBERY,COMMERCIAL UNCLASSIFIED",269872
"LARCENY,GRAND FROM EATERY, UNATTENDED",269873
"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",269874
"ROBBERY,DWELLING",269875
"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",269876
"LARCENY,GRAND BY DISHONEST EMP",269877
"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",269878
MAKING TERRORISTIC THREAT,269879
"BURGLARY,TRUCK NIGHT",269880
"LARCENY,GRAND OF MOTORCYCLE",269881
"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",269882
"BURGLARY,COMMERCIAL,NIGHT",269883
ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,269884
ARSON,269886
"ARSON, MOTOR VEHICLE 1 2 3 & 4",269886
WEAPONS POSSESSION 1 & 2,269887
