precinct,location,number_of_complaints
Precinct 1,"point({srid:4326, x:-74.00709028, y:40.72025522})",64
Precinct 1,"point({srid:4326, x:-74.01060963, y:40.71009385})",56
Precinct 1,"point({srid:4326, x:-73.99985714, y:40.72441101})",48
Precinct 1,"point({srid:4326, x:-74.01144362, y:40.71461714})",47
Precinct 1,"point({srid:4326, x:-74.00165018, y:40.72355738})",41
Precinct 10,"point({srid:4326, x:-73.99842802, y:40.74283379})",124
Precinct 10,"point({srid:4326, x:-73.99967657, y:40.76140476})",82
Precinct 10,"point({srid:4326, x:-74.00708195, y:40.74368994})",58
Precinct 10,"point({srid:4326, x:-73.99706743, y:40.74470568})",57
Precinct 10,"point({srid:4326, x:-74.00298585, y:40.7416892})",45
Precinct 100,"point({srid:4326, x:-73.81601112, y:40.58623141})",72
Precinct 100,"point({srid:4326, x:-73.81652172, y:40.58646553})",45
Precinct 100,"point({srid:4326, x:-73.79405667, y:40.59197472})",28
Precinct 100,"point({srid:4326, x:-73.79565256, y:40.5928861})",25
Precinct 100,"point({srid:4326, x:-73.81610192, y:40.58594335})",23
Precinct 101,"point({srid:4326, x:-73.78869104, y:40.5899201})",70
Precinct 101,"point({srid:4326, x:-73.78707255, y:40.58937364})",69
Precinct 101,"point({srid:4326, x:-73.74211638, y:40.59601181})",66
Precinct 101,"point({srid:4326, x:-73.74997626, y:40.60295159})",56
Precinct 101,"point({srid:4326, x:-73.78612751, y:40.59103249})",54
Precinct 102,"point({srid:4326, x:-73.83156876, y:40.69873677})",74
Precinct 102,"point({srid:4326, x:-73.8158542, y:40.70059287})",48
Precinct 102,"point({srid:4326, x:-73.83112954, y:40.69843969})",38
Precinct 102,"point({srid:4326, x:-73.83157089, y:40.69932416})",26
Precinct 102,"point({srid:4326, x:-73.82993154, y:40.69022557})",21
Precinct 103,"point({srid:4326, x:-73.7926119, y:40.70704748})",68
Precinct 103,"point({srid:4326, x:-73.79967739, y:40.70355491})",52
Precinct 103,"point({srid:4326, x:-73.8077432, y:40.70059059})",42
Precinct 103,"point({srid:4326, x:-73.80790652, y:40.70148566})",38
Precinct 103,"point({srid:4326, x:-73.79214177, y:40.70744736})",35
Precinct 104,"point({srid:4326, x:-73.89355376, y:40.70426739})",64
Precinct 104,"point({srid:4326, x:-73.91142369, y:40.69974268})",30
Precinct 104,"point({srid:4326, x:-73.86979012, y:40.70938666})",27
Precinct 104,"point({srid:4326, x:-73.91037075, y:40.69963757})",26
Precinct 104,"point({srid:4326, x:-73.8934704, y:40.70451983})",23
Precinct 105,"point({srid:4326, x:-73.7352339, y:40.72618713})",94
Precinct 105,"point({srid:4326, x:-73.73476085, y:40.72629309})",68
Precinct 105,"point({srid:4326, x:-73.73486454, y:40.72652938})",33
Precinct 105,"point({srid:4326, x:-73.70659676, y:40.75353246})",30
Precinct 105,"point({srid:4326, x:-73.78280337, y:40.66655486})",26
Precinct 106,"point({srid:4326, x:-73.82821878, y:40.67760528})",132
Precinct 106,"point({srid:4326, x:-73.83969048, y:40.6821864})",59
Precinct 106,"point({srid:4326, x:-73.82604211, y:40.67725891})",46
Precinct 106,"point({srid:4326, x:-73.84007216, y:40.68239828})",33
Precinct 106,"point({srid:4326, x:-73.84007937, y:40.68239829})",32
Precinct 107,"point({srid:4326, x:-73.81043314, y:40.72993936})",63
Precinct 107,"point({srid:4326, x:-73.81090891, y:40.73011307})",51
Precinct 107,"point({srid:4326, x:-73.81102013, y:40.72906475})",30
Precinct 107,"point({srid:4326, x:-73.80888452, y:40.73523419})",21
Precinct 107,"point({srid:4326, x:-73.77985027, y:40.71487931})",20
Precinct 108,"point({srid:4326, x:-73.95527425, y:40.74296235})",86
Precinct 108,"point({srid:4326, x:-73.95473646, y:40.74308017})",54
Precinct 108,"point({srid:4326, x:-73.95606807, y:40.7431246})",43
Precinct 108,"point({srid:4326, x:-73.93841247, y:40.74855935})",32
Precinct 108,"point({srid:4326, x:-73.94283783, y:40.74782879})",20
Precinct 109,"point({srid:4326, x:-73.82691731, y:40.76233422})",104
Precinct 109,"point({srid:4326, x:-73.83401937, y:40.75737942})",88
Precinct 109,"point({srid:4326, x:-73.82897041, y:40.75986976})",78
Precinct 109,"point({srid:4326, x:-73.82732958, y:40.76204389})",73
Precinct 109,"point({srid:4326, x:-73.83443909, y:40.78166278})",55
Precinct 110,"point({srid:4326, x:-73.8715824, y:40.73392684})",264
Precinct 110,"point({srid:4326, x:-73.87006287, y:40.74525274})",101
Precinct 110,"point({srid:4326, x:-73.87545147, y:40.73533092})",69
Precinct 110,"point({srid:4326, x:-73.86202532, y:40.73504388})",48
Precinct 110,"point({srid:4326, x:-73.84443494, y:40.75498955})",46
Precinct 111,"point({srid:4326, x:-73.76750253, y:40.76039614})",25
Precinct 111,"point({srid:4326, x:-73.76784258, y:40.76018548})",23
Precinct 111,"point({srid:4326, x:-73.76742395, y:40.76015719})",15
Precinct 111,"point({srid:4326, x:-73.73810566, y:40.75559561})",15
Precinct 111,"point({srid:4326, x:-73.77071301, y:40.75998263})",12
Precinct 112,"point({srid:4326, x:-73.86388449, y:40.73285578})",71
Precinct 112,"point({srid:4326, x:-73.85147389, y:40.72236369})",35
Precinct 112,"point({srid:4326, x:-73.86340922, y:40.73059628})",28
Precinct 112,"point({srid:4326, x:-73.8481994, y:40.7233887})",23
Precinct 112,"point({srid:4326, x:-73.84443553, y:40.72073498})",21
Precinct 113,"point({srid:4326, x:-73.77590919, y:40.68004873})",102
Precinct 113,"point({srid:4326, x:-73.77604737, y:40.67970041})",82
Precinct 113,"point({srid:4326, x:-73.77693008, y:40.67664718})",47
Precinct 113,"point({srid:4326, x:-73.77365162, y:40.67278984})",41
Precinct 113,"point({srid:4326, x:-73.77391494, y:40.67912532})",32
Precinct 114,"point({srid:4326, x:-73.91550818, y:40.76930609})",85
Precinct 114,"point({srid:4326, x:-73.91536345, y:40.76956124})",63
Precinct 114,"point({srid:4326, x:-73.91162336, y:40.75315858})",58
Precinct 114,"point({srid:4326, x:-73.91269199, y:40.76672942})",44
Precinct 114,"point({srid:4326, x:-73.9160437, y:40.76261479})",37
Precinct 115,"point({srid:4326, x:-73.87565666, y:40.75686098})",109
Precinct 115,"point({srid:4326, x:-73.87026541, y:40.75058602})",56
Precinct 115,"point({srid:4326, x:-73.87334508, y:40.75194536})",45
Precinct 115,"point({srid:4326, x:-73.8841244, y:40.74869594})",42
Precinct 115,"point({srid:4326, x:-73.86377324, y:40.75197561})",42
Precinct 120,"point({srid:4326, x:-74.08165623, y:40.61549122})",85
Precinct 120,"point({srid:4326, x:-74.07721685, y:40.64502275})",83
Precinct 120,"point({srid:4326, x:-74.07748316, y:40.64472613})",81
Precinct 120,"point({srid:4326, x:-74.07567804, y:40.64173826})",51
Precinct 120,"point({srid:4326, x:-74.08312222, y:40.61261363})",34
Precinct 121,"point({srid:4326, x:-74.14922697, y:40.62322682})",125
Precinct 121,"point({srid:4326, x:-74.1712523, y:40.63898418})",82
Precinct 121,"point({srid:4326, x:-74.16893609, y:40.58230199})",74
Precinct 121,"point({srid:4326, x:-74.15065813, y:40.62368882})",56
Precinct 121,"point({srid:4326, x:-74.16408372, y:40.58692579})",32
Precinct 122,"point({srid:4326, x:-74.10600776, y:40.57414013})",47
Precinct 122,"point({srid:4326, x:-74.10549616, y:40.57384965})",32
Precinct 122,"point({srid:4326, x:-74.08746486, y:40.58432799})",18
Precinct 122,"point({srid:4326, x:-74.1059144, y:40.57428569})",18
Precinct 122,"point({srid:4326, x:-74.11191815, y:40.56539505})",16
Precinct 123,"point({srid:4326, x:-74.24930373, y:40.51158634})",84
