precinct,offense,number_of_complaints,area,complaints_per_100k_sqft
Precinct 1,GRAND LARCENY,143,47315893.68,0.30222402849900054
Precinct 1,BURGLARY,27,47315893.68,0.0570632781082029
Precinct 1,FELONY ASSAULT,25,47315893.68,0.05283636861870639
Precinct 1,ROBBERY,21,47315893.68,0.044382549639713366
Precinct 1,CRIMINAL MISCHIEF & RELATED OF,20,47315893.68,0.042269094894965116
Precinct 10,GRAND LARCENY,75,27267320.87,0.27505452536965724
Precinct 10,BURGLARY,35,27267320.87,0.12835877850584004
Precinct 10,CRIMINAL MISCHIEF & RELATED OF,21,27267320.87,0.07701526710350402
Precinct 10,ROBBERY,20,27267320.87,0.0733478734319086
Precinct 10,DANGEROUS WEAPONS,11,27267320.87,0.04034133038754973
Precinct 100,MISCELLANEOUS PENAL LAW,35,206987680.75,0.016909218883549425
Precinct 100,GRAND LARCENY,21,206987680.75,0.010145531330129656
Precinct 100,FELONY ASSAULT,16,206987680.75,0.0077299286324797375
Precinct 100,THEFT-FRAUD,9,206987680.75,0.004348084855769853
Precinct 100,DANGEROUS WEAPONS,9,206987680.75,0.004348084855769853
Precinct 101,FELONY ASSAULT,55,84672666.33,0.06495602699653405
Precinct 101,MISCELLANEOUS PENAL LAW,49,84672666.33,0.057869914960548524
Precinct 101,CRIMINAL MISCHIEF & RELATED OF,34,84672666.33,0.04015463487058469
Precinct 101,GRAND LARCENY,26,84672666.33,0.030706485489270643
Precinct 101,ROBBERY,14,84672666.33,0.01653426141729958
Precinct 102,FELONY ASSAULT,51,133314470.84,0.038255411943395594
Precinct 102,MISCELLANEOUS PENAL LAW,51,133314470.84,0.038255411943395594
Precinct 102,GRAND LARCENY,42,133314470.84,0.03150445689456108
Precinct 102,GRAND LARCENY OF MOTOR VEHICLE,37,133314470.84,0.027753926311875232
Precinct 102,BURGLARY,29,133314470.84,0.021753077379577886
Precinct 103,FELONY ASSAULT,89,100921594.95,0.08818727056790336
Precinct 103,GRAND LARCENY,71,100921594.95,0.07035164281259706
Precinct 103,DANGEROUS DRUGS,63,100921594.95,0.062424697143572044
Precinct 103,CRIMINAL MISCHIEF & RELATED OF,53,100921594.95,0.05251601505729077
Precinct 103,ROBBERY,50,100921594.95,0.049543410431406386
Precinct 104,GRAND LARCENY,97,210504683.7,0.046079734804494524
Precinct 104,CRIMINAL MISCHIEF & RELATED OF,63,210504683.7,0.029928075182300562
Precinct 104,FELONY ASSAULT,57,210504683.7,0.027077782307795752
Precinct 104,BURGLARY,51,210504683.7,0.024227489433290932
Precinct 104,MISCELLANEOUS PENAL LAW,44,210504683.7,0.02090214774636865
Precinct 105,GRAND LARCENY,86,347328626.92,0.02476041228234502
Precinct 105,FELONY ASSAULT,70,347328626.92,0.02015382395074595
Precinct 105,MISCELLANEOUS PENAL LAW,68,347328626.92,0.019578000409296064
Precinct 105,CRIMINAL MISCHIEF & RELATED OF,60,347328626.92,0.017274706243496526
Precinct 105,BURGLARY,40,347328626.92,0.011516470828997684
Precinct 106,GRAND LARCENY,89,173080151.29,0.05142126311807894
